Country Name,Country ISO3,Year,Indicator Name,Indicator Code,Value,data_entry_by,upload_ts,notes,ref_date
Mozambique,MOZ,1992,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,233365000.206251,USER_0,2026-04-02 02:44:51.524768,,01/01/1992
Mozambique,MOZ,2018,Adjusted savings: consumption of fixed capital (current US$),NY.ADJ.DKAP.CD,2786715588.55379,,2026-04-02 02:44:51.524768,,Jan 2018
Mozambique,MOZ,2021,GDP deflator (base year varies by country),NY.GDP.DEFL.ZS,107.866562062975,USER_2,2026-04-02 02:44:51.524768,,2021-01-01
Mozambique,MOZ,1993,Adjusted savings: carbon dioxide damage (% of GNI),NY.ADJ.DCO2.GN.ZS,0.697012453083094,bot,2026-04-02 02:44:51.524768,,01/01/1993
mozambique,MOZ,2018,Final consumption expenditure (current US$),NE.CON.TOTL.CD,13149893102.8451,bot,2026-04-02 02:44:51.524768,,Jan 2018
Mozambique,MOZ,2013,"Exports of goods and services (BoP, current US$)",BX.GSR.GNFS.CD,4768107024.54216,admin,2026-04-02 02:44:51.524768,,Jan 2013
Mozambique,MOZ,1991,"Agriculture, forestry, and fishing, value added (current LCU)",NV.AGR.TOTL.CN,1876537400.0,,2026-04-02 02:44:51.524768,,1991-01-01
Mozambique,MOZ,2020,Gross capital formation (current US$),NE.GDI.TOTL.CD,6381265745.33938,USER_2,2026-04-02 02:44:51.524768,,2020-01-01
Mozambique,MOZ,1976,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,969142.975436848,,2026-04-02 02:44:51.524768,,01/01/1976
Mozambique,MOZ,2023,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,5.48149036541776,USER_0,2026-04-02 02:44:51.524768,,Jan 2023
Mozambique,MOZ,2020,Terms of trade adjustment (constant LCU),NY.TTF.GNFS.KN,5110640818.32275,,2026-04-02 02:44:51.524768,,2020
Mozambique,MOZ,1998,Adjusted savings: mineral depletion (% of GNI),NY.ADJ.DMIN.GN.ZS,0.0005119375263602,USER_6,2026-04-02 02:44:51.524768,,1998-01-01
Mozambique,MOZ,1991,"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,-240557217.239554,USER_5,2026-04-02 02:44:51.524768,,01/01/1991
Mozambique,MOZ,2011,"Net primary income (BoP, current US$)",BN.GSR.FCTY.CD,-199066424.31853,bot,2026-04-02 02:44:51.524768,,01/01/2011
Mozambique,MOZ,2024,"Current account balance (BoP, current US$)",BN.CAB.XOKA.CD,-2493130139.18683,,2026-04-02 02:44:51.524768,,01/01/2024
Mozambique,MOZ,-1977,"Grants, excluding technical cooperation (BoP, current US$)",BX.GRT.EXTA.CD.WD,60320000.0,,2026-04-02 02:44:51.524768,,
Mozambique,MOZ,2016,"Reserves and related items (BoP, current US$)",BN.RES.INCL.CD,-503325234.479916,bot,2026-04-02 02:44:51.524768,,2016
Mozambique,MOZ,1993,"Manufacturing, value added (current LCU)",NV.IND.MANF.CN,1384391000.0,bot,2026-04-02 02:44:51.524768,,1993-01-01
Mozambique,MOZ,2011,"Agriculture, forestry, and fishing, value added (current US$)",NV.AGR.TOTL.CD,3871897738.37537,,2026-04-02 02:44:51.524768,,2011
Mozambique,MOZ,2012,"GNI, PPP (constant 2021 international $)",NY.GNP.MKTP.PP.KD,,admin,2026-04-02 02:44:51.524768,,2012-01-01
Mozambique,MOZ,2020,Adjusted savings: mineral depletion (current US$),NY.ADJ.DMIN.CD,4374814.57841569,USER_0,2026-04-02 02:44:51.524768,,2020
Mozambique,MOZ,2005,Adjusted savings: net national savings (current US$),NY.ADJ.NNAT.CD,-81129367978.4417,bot,2026-04-02 02:44:51.524768,,Jan 2005
mozambique,MOZ,2011,Expense (% of GDP),GC.XPN.TOTL.GD.ZS,21.2948647268172,,2026-04-02 02:44:51.524768,,01/01/2011
Mozambique,moz,2011,"Foreign direct investment, net outflows (BoP, current US$)",BM.KLT.DINV.CD.WD,83588479.3963299,,2026-04-02 02:44:51.524768,,Jan 2011
Mozambique,MOZ,1983,Adjusted savings: energy depletion (current US$),NY.ADJ.DNGY.CD,140730.094638312,,2026-04-02 02:44:51.524768,,Jan 1983
Mozambique,MOZ,2009,GNI per capita (current LCU),NY.GNP.PCAP.CN,14725.3630255257,USER_6,2026-04-02 02:44:51.524768,,2009
Mozambique,MOZ,2015,Gross value added at basic prices (GVA) (current US$),NY.GDP.FCST.CD,14394324850.9334,bot,2026-04-02 02:44:51.524768,,2015-01-01
Mozambique,MOZ,2023,GDP per capita (current LCU),NY.GDP.PCAP.CN,39737.0071437151,bot,2026-04-02 02:44:51.524768,,01/01/2023
Mozambique,MOZ,-1998,Households and NPISHs Final consumption expenditure (constant LCU),NE.CON.PRVT.KN,,,2026-04-02 02:44:51.524768,,
Mozambique,MOZ,2019,"Travel services (% of service imports, BoP)",BM.GSR.TRVL.ZS,3.40935189287108,,2026-04-02 02:44:51.524768,,2019
Mozambique,MOZ,2023,GNI per capita (constant 2015 US$),NY.GNP.PCAP.KD,590.362697286412,,2026-04-02 02:44:51.524768,,2023-01-01
Mozambique,MOZ,2002,GNI (constant 2015 US$),NY.GNP.MKTP.KD,5551726141.6483,bot,2026-04-02 02:44:51.524768,,2002
Mozambique,MOZ,2015,"Services, value added (constant LCU)",NV.SRV.TOTL.KN,360376333900.0,,2026-04-02 02:44:51.524768,,2015-01-01
Mozambique,MOZ,1997,"Services, value added (constant LCU)",NV.SRV.TOTL.KN,91381522900.0,USER_4,2026-04-02 02:44:51.524768,,1997-01-01
Mozambique,MOZ,2005,Households and NPISHs final consumption expenditure (% of GDP),NE.CON.PRVT.ZS,74.4463306691723,bot,2026-04-02 02:44:51.524768,,Jan 2005
Mozambique,MOZ,1971,Machinery and transport equipment (% of value added in manufacturing),NV.MNF.MTRN.ZS.UN,4.44388014220416,USER_1,2026-04-02 02:44:51.524768,,Jan 1971
Mozambique,M0Z,2014,"Inflation, consumer prices (annual %)",FP.CPI.TOTL.ZG,2.55974875844295,,2026-04-02 02:44:51.524768,,2014-01-01
Mozambique,MOZ,1994,"GDP, PPP (constant 2021 international $)",NY.GDP.MKTP.PP.KD,8211636159.03737,,2026-04-02 02:44:51.524768,,1994-01-01
Mozambique,MOZ,2002,Imports of goods and services (constant 2015 US$),NE.IMP.GNFS.KD,2981117344.25823,,2026-04-02 02:44:51.524768,,01/01/2002
Mozambique,MOZ,2000,"Foreign direct investment, net inflows (% of GDP)",BX.KLT.DINV.WD.GD.ZS,2.3488011074454,USER_1,2026-04-02 02:44:51.524768,,01/01/2000
Mozambique,MOZ,1990,DEC alternative conversion factor (LCU per US$),PA.NUS.ATLS,0.929089,bot,2026-04-02 02:44:51.524768,,1990
Mozambique,MOZ,2010,"Inflation, GDP deflator (annual %)",NY.GDP.DEFL.KD.ZG,7.64522798725267,bot,2026-04-02 02:44:51.524768,,Jan 2010
